Division_ID,Division,Create_Date,Created_By,Last_Update,Last_Updated_By,Country_ID
1,Alabama,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
2,Arizona,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
3,Arkansas,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
4,California,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
5,Colorado,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
6,Connecticut,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
7,Delaware,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
8,"District of Columbia","2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
9,Florida,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
10,Georgia,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
11,Idaho,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
12,Illinois,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
13,Indiana,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
14,Iowa,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
15,Kansas,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
16,Kentucky,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
17,Louisiana,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
18,Maine,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
19,Maryland,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
20,Massachusetts,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
21,Michigan,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
22,Minnesota,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
23,Mississippi,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
24,Missouri,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
25,Montana,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
26,Nebraska,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
27,Nevada,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
28,"New Hampshire","2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
29,"New Jersey","2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
30,"New Mexico","2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
31,"New York","2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
32,"North Carolina","2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
33,"North Dakota","2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
34,Ohio,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
35,Oklahoma,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
36,Oregon,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
37,Pennsylvania,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
38,"Rhode Island","2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
39,"South Carolina","2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
40,"South Dakota","2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
41,Tennessee,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
42,Texas,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
43,Utah,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
44,Vermont,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
45,Virginia,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
46,Washington,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
47,"West Virginia","2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
48,Wisconsin,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
49,Wyoming,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
52,Hawaii,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
54,Alaska,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,1
60,"Northwest Territories","2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,3
61,Alberta,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,3
62,"British Columbia","2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,3
63,Manitoba,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,3
64,"New Brunswick","2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,3
65,"Nova Scotia","2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,3
66,"Prince Edward Island","2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,3
67,Ontario,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,3
68,Québec,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,3
69,Saskatchewan,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,3
70,Nunavut,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,3
71,Yukon,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,3
72,"Newfoundland and Labrador","2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,3
101,England,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,2
102,Wales,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,2
103,Scotland,"2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,2
104,"Northern Ireland","2022-12-21 12:39:02",script,"2022-12-21 12:39:02",script,2
